GL-000024	NSCLC SOC Genes 9	ALK BRAF EGFR ERBB2 KRAS MET PIK3CA RET ROS1
GL-001134	Cardiac disorders, deafness and epilepsy_CE 440	AARS ABCB1 ABCC9 ACE ACTB ACTC1 ACTG1 ACTN2 ADRA2B ADSL AFG3L2 AGT AGTR2 AIFM1 AKAP9 AKT3 ALDH7A1 ALG13 AMT ANK2 ANK3 ANKRD1 AP1S1 AP1S2 AP3B2 ARFGEF2 ARHGEF9 ASAH1 ASNS ATP13A2 ATP1A2 ATP1A3 ATP2B2 ATP6AP2 ATP6V0A4 ATP6V1B1 BAG3 BCAP31 BCS1L BMP10 BOLA3 BRAT1 BRWD3 BSND C10ORF2 CACNA1A CACNA1C CACNA1D CACNA1G CACNA1H CACNA2D1 CACNB2 CACNB4 CALM1 CALM3 CASK CASQ2 CASR CAV3 CBL CCDC50 CD151 CDH23 CDKL5 CEACAM16 CHD2 CHD7 CHRM2 CHRNA7 CHRNB2 CIB2 CLCN2 CLCNKA CLCNKB CLDN14 CLN3 CLN5 CLN6 CLN8 CLRN1 CNNM2 CNTNAP2 COCH COL11A1 COL11A2 COL2A1 COL4A1 COL4A3 COL4A4 COL4A5 COL4A6 COL6A2 COL9A1 COL9A2 COQ4 COX15 CPA6 CRH CRYAB CRYM CSRP3 CSTB CTSD CYP2C19 CYP2C9 CYP3A5 D2HGDH DCAF17 DCDC2 DCX DEAF1 DES DFNA5 DFNB59 DIABLO DIAPH1 DIAPH3 DLX5 DMD DNAJC19 DNAJC5 DNM1 DNM1L DNMT1 DOLK DSC2 DSG2 DSP DSPP DTNA DYNC1H1 DYRK1A EDN3 EDNRB EFHC1 EMD EPM2A ESPN ESRRB ETHE1 EXT2 EYA1 EYA4 F2 F9 FARS2 FGF3 FIG4 FKTN FLNA FLT1 FOLR1 FOXD4 FOXI1 FXN GABRA1 GABRA6 GABRB3 GABRD GABRG2 GAMT GATA3 GATM GCK GCSH GIPC3 GJA5 GJB2 GJB3 GJB6 GLA GLDC GLYCTK GOSR2 GPD1L GPHN GPR98 GPSM2 GRHL2 GRIN1 GRIN2A GRIN2B GRN GRXCR1 HACE1 HARS2 HCN1 HGF HNRNPU HOMER2 HSD17B10 HSD17B4 IDH2 IER3IP1 IGF1 ILDR1 ILK INS ITM2B ITPA JRK JUP KARS KCNA1 KCNA5 KCND2 KCND3 KCNE1 KCNE2 KCNE3 KCNH2 KCNJ10 KCNJ11 KCNJ2 KCNJ5 KCNJ8 KCNMA1 KCNQ1 KCNQ2 KCNQ3 KCNQ4 KCTD7 KIAA2022 KITLG L2HGDH LAMA2 LAMA4 LAMP2 LARS2 LDB3 LGI1 LHFPL5 LHX3 LIAS LMNA LMNB2 LOXHD1 LRP2 LRTOMT MAFB MAGI2 MANBA MBD5 MECP2 MED17 MEF2C MET MFF MFSD8 MIR96 MITF MOCS1 MSRB3 MTHFR MURC MYBPC3 MYH14 MYH6 MYH7 MYH9 MYL2 MYL3 MYLK2 MYO15A MYO1A MYO3A MYO6 MYO7A MYOM1 MYOZ2 MYPN NARS2 NDP NDUFAF1 NEBL NEDD4L NEU1 NEXN NHLRC1 NKX2 NLRP3 NPPA NR2F1 NRXN1 NUP155 OBSCN OPA1 OTOA OTOF P2RY12 PAX3 PCDH15 PCDH19 PDLIM3 PDZD7 PHF6 PHGDH PIGA PIGN PIGO PIGV PKP2 PLCB1 PLN PLOD3 PMP22 PNKP PNPO POLD1 POLG POLR1C POLR1D PON1 POU3F4 POU4F3 PPP1R3C PPT1 PRICKLE1 PRICKLE2 PRKAG2 PRPS1 PRRT2 PSEN1 PSEN2 PTEN PTPRQ RAF1 RANBP2 RANGRF RBFOX1 RBM20 RDX RELN ROGDI RPGR RYR2 SACS SALL1 SALL4 SCARB2 SCN10A SCN1A SCN1B SCN2A SCN2B SCN3A SCN3B SCN4A SCN4B SCN5A SCN8A SCN9A SCO1 SDHA SEMA3A SEMA3E SERPINB6 SERPINI1 SEZ6 SGCD SIX1 SLC17A8 SLC19A2 SLC19A3 SLC1A2 SLC22A4 SLC25A12 SLC25A22 SLC25A4 SLC26A4 SLC26A5 SLC2A1 SLC4A11 SLC52A3 SLC6A1 SLC6A8 SLC9A6 SMC1A SMPX SMS SNAI2 SNIP1 SNTA1 SOX10 SPTAN1 SRI SRPX2 ST3GAL3 ST3GAL5 STRADA STRC STXBP1 SYNE1 SYNGAP1 TAZ TBC1D24 TBCE TBL1XR1 TCAP TCF21 TCF4 TCOF1 TECTA TGFB3 TIMM8A TJP2 TK2 TMC1 TMEM43 TMIE TMPO TMPRSS3 TNC TNNC1 TNNI3 TNNT2 TPM1 TPP1 TRDN TRIOBP TRPM4 TSC2 TTN TTR TXNRD2 TYR UBE3A UBR1 USH1C USH1G USH2A USP9X VCL VKORC1 VPS13A WDR45 WDR62 WFS1 WWOX ZEB2
GL-001135	3-M syndrome and Warburg micro syndrome_CE 6	CCDC8 CUL7 OBSL1 RAB18 RAB3GAP1 RAB3GAP2
GL-001136	Skeletal disorders_CE-S2017-869 414	ACP5 ACTB ACVR1 ADAMTS10 ADAMTS17 ADAMTSL2 ADCY6 AGA AGPS AIRE ALG9 ALPL ALX1 ALX4 AMER1 ANKH ANKRD11 ANO5 ANTXR2 ARHGAP31 ARID1A ARID1B ARL6 ARSB ARSE ATP6V0A2 ATP7A B3GAT3 B4GALT7 B9D1 B9D2 BANF1 BBS1 BBS10 BBS12 BBS2 BBS4 BBS5 BBS7 BBS9 BMP1 BMP2 BMPER BMPR1B C8ORF37 CA2 CALCR CANT1 CASR CC2D2A CCDC8 CDC6 CDC73 CDH3 CDT1 CEP290 CEP41 CHRNA1 CHRNB1 CHRND CHRNG CHST14 CHST3 CHSY1 CLCN5 CLCN7 COG1 COL10A1 COL11A1 COL11A2 COL1A1 COL1A2 COL2A1 COL3A1 COL9A1 COL9A2 COL9A3 COLEC11 COMP CREBBP CRTAP CTC1 CTSA CTSC CTSK CUL7 CYP26B1 CYP27B1 CYP2R1 DDR2 DDX58 DHCR24 DHODH DIS3L2 DLL3 DLX3 DLX5 DMP1 DNM2 DNMT3A DOCK6 DOK7 DYM DYNC2H1 EBP EDNRA EFNB1 EFTUD2 EIF2AK3 EMG1 ENPP1 EP300 ERBB3 ESCO2 EVC EVC2 EXT1 EXT2 EZH2 FAH FAM20C FAM58A FBLN1 FBN1 FBN2 FBXW4 FGF10 FGF23 FGF9 FGFR1 FGFR2 FGFR3 FIG4 FKBP10 FLNA FLNB FRAS1 FREM1 FREM2 FUCA1 GALNS GALNT3 GDF3 GDF5 GDF6 GJA1 GLB1 GLE1 GLI3 GNAS GNPAT GNPTAB GNPTG GNS GORAB GPC3 GPC6 GPX4 GREM1 GRIP1 GSC GUSB HDAC4 HDAC8 HES7 HGSNAT HOXA11 HOXD13 HPGD HRAS HSPA9 HSPG2 HYAL1 ICK IDH1 IDH2 IDS IDUA IFIH1 IFITM5 IFT122 IFT140 IFT43 IFT80 IHH IKBKG IL11RA IL1RN IL6 IMPAD1 INPP5E IRX5 KAT6B KIF22 KIF7 KL KMT2D KRAS LBR LEMD3 LEPRE1 LFNG LIFR LMBR1 LMNA LMX1B LPIN2 LRP4 LRP5 LTBP2 LZTFL1 MAFB MAN2B1 MANBA MASP1 MATN3 MEN1 MESP2 MGP MITF MKKS MKS1 MMP13 MMP14 MMP2 MMP9 MSX2 MTAP MUSK MYBPC1 MYH3 MYH8 MYO18B NAGLU NEK1 NEU1 NF1 NIPBL NKX3 NLRP3 NOG NOTCH1 NOTCH2 NPHP3 NPR2 NSD1 NSDHL NT5E OBSL1 OFD1 ORC1 ORC4 ORC6 OSTM1 PAPSS2 PAX3 PCNT PDE4D PEX1 PEX10 PEX12 PEX13 PEX14 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 PHEX PIEZO2 PIGV PIP5K1C PITX1 PLEKHM1 PLOD2 PLOD3 POLR1C POLR1D POP1 POR PORCN PPIB PRG4 PRKAR1A PRMT7 PSMB8 PTCH1 PTCH2 PTEN PTH PTH1R PTHLH PTPN11 PYCR1 RAB23 RAD21 RAPSN RASA1 RBM8A RECQL4 RIPK4 RMRP RNF135 RNU4ATAC ROR2 RPGRIP1 RPGRIP1L RPS26 RUNX2 RYR1 SALL1 SALL4 SBDS SDCCAG8 SEC23A SERPINF1 SERPINH1 SETBP1 SETD2 SF3B4 SGSH SH3BP2 SH3PXD2B SHOX SHOX SKI SLC17A5 SLC26A2 SLC2A2 SLC34A1 SLC34A3 SLC35D1 SLC39A13 SLC7A7 SLC9A3R1 SLCO2A1 SMAD3 SMARCA4 SMARCAL1 SMARCB1 SMARCE1 SMC1A SMC3 SMOC1 SNX10 SOST SOX9 SP7 SQSTM1 SRCAP SUFU SUMF1 TBC1D24 TBCE TBL1XR1 TBX15 TBX22 TBX3 TBX4 TBX5 TBX6 TBXAS1 TCIRG1 TCOF1 TCTN1 TCTN2 TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR2 TMCO1 TMEM138 TMEM165 TMEM216 TMEM237 TMEM67 TNFRSF11A TNFRSF11B TNFSF11 TNNI2 TNNT3 TP63 TPM2 TRAPPC2 TREM2 TRIM32 TRIP11 TRPS1 TRPV4 TTC21B TTC8 TYROBP UBA1 VDR VIPAS39 VPS33B WDPCP WDR19 WDR35 WISP3 WNK1 WNT10B WNT3 WNT5A WNT7A XYLT1 XYLT2 ZIC1 ZIC3 ZMPSTE24
GL-001139	Inborn errors of metabolism and cystic fibrosis_CE 469	AASS ABAT ABCA1 ABCB11 ABCB4 ABCB7 ABCD1 ABCD3 ABCD4 ABCG5 ABCG8 ACACA ACAD8 ACAD9 ACADL ACADM ACADS ACADSB ACADVL ACAT1 ACAT2 ACOX1 ACSF3 ACY1 ADA ADAR ADK AGA AGL AGPAT2 AGPS AGXT AHCY AKR1D1 ALAD ALAS2 ALDH3A2 ALDH4A1 ALDH5A1 ALDH6A1 ALDH7A1 ALDOA ALDOB ALG1 ALG11 ALG12 ALG13 ALG2 ALG3 ALG6 ALG8 ALG9 AMACR AMN AMPD1 AMT ANGPTL3 AP3B1 APOA1 APOA2 APOA5 APOB APOC2 APOC3 APOE APRT ARG1 ARSA ARSB ASAH1 ASL ASPA ASS1 ATIC ATP13A2 ATP6V0A2 ATP7A ATP7B ATP8B1 ATRX AUH B3GALTL B4GALT1 B4GALT7 BAAT BCKDHA BCKDHB BLOC1S6 BSCL2 BTD C7ORF10 CAT CAV1 CBS CD320 CETP CFTR CIDEC CLDN16 CLDN19 CLN3 CLN5 CLN6 CLN8 CLPS CNNM2 COG1 COG4 COG5 COG6 COG7 COG8 CP CPOX CPS1 CPT1A CPT1B CPT2 CTH CTNS CTSA CTSC CTSD CTSK CUBN CYP27A1 CYP7B1 D2HGDH DBH DBT DCXR DDC DDOST DGAT1 DGUOK DHCR24 DHCR7 DHFR DHODH DNAJC19 DNAJC5 DNM1L DOLK DPAGT1 DPM1 DPM3 DPYD DPYS DTNBP1 EBP EGF ENO3 EPB42 ETFA ETFB ETFDH EXT1 EXT2 FAH FBP1 FECH FGFR2 FIG4 FKRP FKTN FOLR1 FTCD FTH1 FUCA1 FXYD2 G6PC G6PD GAA GALC GALE GALK1 GALNS GALNT3 GALT GATA1 GBA GBE1 GCDH GCH1 GCLC GCSH GGCX GIF GK GLA GLB1 GLDC GLRA1 GLUD1 GLUL GLYCTK GM2A GNE GNMT GNPAT GNPTAB GNPTG GNS GPD1 GPHN GPI GPIHBP1 GRHPR GSS GUSB GYG1 GYS1 GYS2 HADH HADHA HADHB HAMP HBB HBD HBG1 HBG2 HEXA HEXB HFE HFE2 HGD HGSNAT HIBCH HLCS HMBS HMGCL HMGCS2 HMOX1 HOGA1 HPD HPRT1 HPS1 HPS3 HPS4 HPS5 HPS6 HSD17B10 HSD17B4 HSD3B7 HSPA9 HYAL1 IDH2 IDS IDUA IFIH1 ISPD ITPA IVD JAG1 KCNA1 KCTD7 KHK L2HGDH LAMP2 LARGE LBR LCAT LCT LDHA LDHB LDLR LDLRAP1 LIPA LIPC LMBRD1 LMF1 LMNA LPIN1 LPL LYST MAGT1 MAN1B1 MAN2B1 MANBA MAOA MAT1A MCCC1 MCCC2 MCEE MCOLN1 MECP2 MFSD8 MGAT2 MLYCD MMAA MMAB MMACHC MMADHC MOCS1 MOCS2 MOGS MPDU1 MPI MSMO1 MTHFR MTR MTRR MTTP MUT MVK NAGA NAGLU NAGS NEU1 NOTCH2 NPC1 NPC2 NSDHL NT5C3A OAT OCRL OPA3 OTC OXCT1 PAH PANK2 PC PCBD1 PCCA PCCB PCK1 PCK2 PCSK9 PEX1 PEX10 PEX11B PEX12 PEX13 PEX14 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 PFKM PGAM2 PGK1 PGM1 PHGDH PHKA1 PHKA2 PHKB PHKG2 PHYH PLIN1 PMM2 PNP PNPO POMGNT1 POMGNT2 POMT1 POMT2 POR PPARG PPOX PPP1R3A PPT1 PRKAG2 PRODH PRPS1 PSAP PSAT1 PSMB8 PSPH PTRF PTS PYCR1 PYGL PYGM QDPR RBP4 RFT1 RNASEH2A RNASEH2B RNASEH2C RNASET2 RPIA RPL11 RPL35A RPL5 RPS10 RPS17 RPS19 RPS24 RPS26 RPS7 RRM2B SAMHD1 SAR1B SARDH SC5D SCP2 SEC23B SGSH SI SLC10A2 SLC12A3 SLC17A5 SLC19A2 SLC19A3 SLC22A5 SLC25A13 SLC25A15 SLC25A19 SLC25A20 SLC25A38 SLC2A1 SLC2A2 SLC35A1 SLC35C1 SLC35D1 SLC36A2 SLC37A4 SLC39A4 SLC3A1 SLC40A1 SLC46A1 SLC5A1 SLC6A19 SLC6A20 SLC7A7 SLC7A9 SMPD1 SPR SRD5A3 ST3GAL5 STS SUCLA2 SUCLG1 SUMF1 SUOX TALDO1 TAT TAZ TCN2 TFR2 TH TJP2 TK2 TMEM165 TMPRSS6 TPI1 TPK1 TPMT TPP1 TREX1 TRIM37 TRPM6 TTPA TUSC3 TYMP UGT1A1 UMOD UMPS UPB1 UROC1 UROD UROS USF1 VKORC1 XDH
GL-001140	Congenital disorders of glycosylation and tuberous sclerosis_CE 56	ALG1 ALG11 ALG12 ALG13 ALG2 ALG3 ALG6 ALG8 ALG9 ATP6V0A2 B3GALTL B3GNT1 B4GALT1 B4GALT7 COG1 COG4 COG5 COG6 COG7 COG8 DDOST DOLK DPAGT1 DPM1 DPM3 EXT1 EXT2 FKRP FKTN GALNT3 GNE ISPD LARGE MAGT1 MAN1B1 MGAT2 MOGS MPDU1 MPI PGM1 PMM2 POMGNT1 POMGNT2 POMT1 POMT2 RFT1 SEC23B SLC35A1 SLC35C1 SLC35D1 SRD5A3 ST3GAL5 TMEM165 TSC1 TSC2 TUSC3
GL-001142	Neurocognitive disorders and ataxia_CE 423	AARS2 ABCB7 ABCD1 ABHD12 ACOX1 ACSL4 ADAR ADCK3 ADNP ADSL AFF2 AFG3L2 AGTR2 AHI1 AIMP1 ANK3 ANKRD11 ANO10 AP1S1 AP1S2 APTX ARFGEF2 ARHGEF6 ARHGEF9 ARID1A ARID1B ARL13B ARSA ASPA ATCAY ATM ATP10A ATP1A3 ATP6AP2 ATP7A ATP8A2 ATRX ATXN10 ATXN2 ATXN3 ATXN8OS AUTS2 BCAP31 BCL11A BCOR BRWD3 C10ORF2 C12ORF57 CA8 CACNA1A CACNA1C CACNA1G CACNB4 CACNG2 CAMTA1 CASK CBS CC2D1A CC2D2A CCDC88C CDH15 CDKL5 CEP290 CEP41 CHD2 CHKB CIC CLCN2 CLIC2 CLN5 CLN6 CLN8 CNNM2 CNTN4 CNTNAP2 COQ2 COQ9 CRADD CRBN CREBBP CSF1R CTC1 CTNNB1 CUL4B CYP27A1 DARS2 DCAF17 DCX DEAF1 DHCR7 DIP2B DLG3 DMD DNAJC19 DNMT1 DOCK8 DPP6 DYNC1H1 DYRK1A EFHC2 EFTUD2 EHMT1 EIF2B1 EIF2B2 EIF2B3 EIF2B4 EIF2B5 ELK1 ELOVL4 ELP2 ENTPD1 EP300 EPB41L1 ERCC8 ESCO2 FA2H FAM126A FGD1 FGF14 FGFR2 FKRP FKTN FLNA FLVCR1 FMN2 FMR1 FOLR1 FOXP1 FOXRED1 FTSJ1 FXN GABRA5 GABRB3 GALC GAMT GATM GDI1 GFAP GOSR2 GPC3 GPR56 GRIA3 GRIK2 GRIN1 GRIN2A GRIN2B GRM1 GRPR HDAC4 HDAC8 HEPACAM HERC2 HOXA1 HPRT1 HSD17B10 HSD17B4 HSPD1 HTRA1 HUWE1 IDS IFIH1 IFT140 IGBP1 IGF1 IL1RAPL1 INPP5E IQSEC2 IRX5 ISPD ITGB3 ITM2B ITPR1 KAT6B KATNAL2 KCNA1 KCND2 KCND3 KCNJ10 KCNK9 KCTD7 KDM5C KIAA0226 KIAA1033 KIAA2022 KIF11 KIF1A KIF7 KIRREL3 L1CAM LAMA1 LAMB1 LAMP2 LARGE LINS LMNB1 MAGT1 MAN1B1 MAOA MARS2 MBD1 MBD5 MBTPS2 MCPH1 MECP2 MED12 MED23 MEF2C MET MFSD8 MGAT2 MLC1 MME MRE11A MTHFR MTPAP MTTP NBN NDP NDST1 NDUFA1 NDUFA11 NDUFAF1 NDUFAF2 NDUFAF3 NDUFAF4 NDUFAF5 NDUFB3 NDUFB9 NDUFS1 NDUFS2 NDUFS3 NDUFS4 NDUFS6 NDUFS7 NDUFV1 NDUFV2 NIPBL NKX2 NLGN3 NLGN4X NOTCH3 NPC1 NPC2 NRXN1 NRXN2 NSD1 NSDHL NSUN2 NTNG1 NUBPL NXF5 OCRL OFD1 OMG OPA1 OPHN1 OTC PAFAH1B1 PAK3 PAX6 PC PCDH19 PDHA1 PDHX PDSS2 PDYN PEX1 PEX10 PEX11B PEX12 PEX13 PEX14 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX6 PEX7 PGK1 PHF6 PHF8 PHYH PIGL PIGO PIGV PIK3R5 PLP1 PMM2 PNKP PNPLA6 POGZ POLG POLR1C POLR3A POLR3B POMGNT1 POMT1 POMT2 PORCN POU1F1 PPP2R1A PPT1 PQBP1 PRICKLE1 PRKCG PRPS1 PRSS12 PRX PSAP PSEN1 PTCHD1 PTEN RAB39B RAB3GAP2 RAB40AL RAD21 RBBP8 RBFOX1 RELN RNASEH2A RNASEH2B RNASEH2C RNASET2 RNF170 RPGRIP1L RPS6KA3 SACS SAMHD1 SATB2 SCN1A SCN2A SCN8A SCP2 SDHA SETBP1 SETD2 SETX SHROOM4 SIL1 SLC16A1 SLC16A2 SLC1A3 SLC25A12 SLC2A1 SLC4A4 SLC6A4 SLC6A8 SLC9A6 SMARCA2 SMARCA4 SMARCB1 SMC1A SMC3 SMS SOBP SOX10 SOX3 SPTBN2 SQSTM1 SRD5A3 SRPX2 ST3GAL3 ST7 STXBP1 SUMF1 SYNE1 SYNGAP1 SYP SYT14 TAF2 TBC1D24 TBCE TBP TCF4 TCTN1 TCTN2 TDP1 TECR TGM6 TMCO1 TMEM138 TMEM216 TMEM237 TMEM67 TMLHE TPP1 TRAPPC9 TREM2 TREX1 TRPC3 TSC1 TSC2 TSPAN7 TTBK2 TTC19 TTC21B TTI2 TTPA TUBA1A TUSC3 TYMP TYROBP UBE2A UBE3A UPF3B USP9X VLDLR WDR81 WFS1 WWOX ZBTB16 ZCCHC12 ZDHHC15 ZDHHC9 ZEB2 ZMYND11 ZNF41 ZNF592 ZNF674 ZNF711 ZNF81
GL-001143	Medium-chain acyl-CoA dehydrogenase deficiency_CE 1	ACADM
GL-001144	Disorders of carbohydrate metabolism_CE 70	AGL AGXT ALDOA ALDOB ARSB BTD DCXR ENO3 EPM2A FBP1 FUCA1 G6PC G6PD GAA GALE GALK1 GALNS GALT GBE1 GK GLB1 GNPTAB GNPTG GNS GPI GRHPR GUSB GYG1 GYS1 GYS2 HGSNAT HLCS HOGA1 HYAL1 IDS IDUA KHK LAMP2 LCT LDHA LDHB MAN2B1 MANBA MCOLN1 NAGLU NEU1 NHLRC1 PC PCK1 PCK2 PFKM PGAM2 PGK1 PHKA1 PHKA2 PHKB PHKG2 PRDM8 PRKAG2 PYGL PYGM RPIA SGSH SI SLC2A1 SLC2A2 SLC37A4 SLC5A1 TALDO1 TPI1
GL-001145	Bronchiectasis and dermatologic disorders_CE 366	ABCA12 ABCB6 ABCC6 ABHD5 ACVRL1 ADAM10 ADAMTS2 ADAR AGPAT2 AIRE AKT1 ALDH18A1 ALDH3A2 ALMS1 ALOX12B ALOXE3 ANTXR1 ANTXR2 AP1S1 AP3B1 APCDD1 AQP5 ARHGAP31 ARID1A ARID1B ARSE ATM ATP2A2 ATP2C1 ATP6V0A2 ATP7A B2M B4GALT7 BANF1 BCS1L BLM BLOC1S6 BRAF BSCL2 C10ORF11 CARD14 CAST CAV1 CBL CCBE1 CCDC103 CCDC39 CCDC40 CCM2 CDAN1 CDH3 CDSN CFTR CHST14 CHST8 CIDEC CLDN1 COL17A1 COL1A1 COL1A2 COL3A1 COL5A1 COL5A2 COL7A1 CREBBP CSTA CTC1 CTSC CTSK CYP4F22 DCAF17 DDB2 DKC1 DLX3 DNAAF3 DNAH11 DNAH5 DNAI1 DNAI2 DNAL1 DNMT3B DOCK6 DOLK DSC3 DSG1 DSG4 DSP DST DTNBP1 DYX1C1 EBP ECM1 EDA EDAR EDARADD EDN3 EDNRA EDNRB EFEMP2 ELN ELOVL4 ENG ENPP1 EP300 ERCC1 ERCC2 ERCC3 ERCC4 ERCC5 ERCC6 ERCC8 EVC EVC2 EXT1 EZH2 F12 FADD FAS FASLG FBLN5 FBN1 FERMT1 FGF10 FGFR2 FGFR3 FIG4 FKBP14 FLG FLNA FLT4 FOXN1 FZD6 GATA2 GBA GGCX GJA1 GJB2 GJB3 GJB4 GJB6 GLI3 GLMN GNAS GORAB GPR143 GRHL2 GSN GTF2H5 HCCS HPGD HPS1 HPS3 HPS4 HPS5 HPS6 HR HRAS HYDIN ICOS IDS IFT122 IFT43 IKBKG IL21R INPP5E IRF6 ITGA3 ITGA6 ITGB4 JUP KIT KITLG KRAS KRIT1 KRT1 KRT10 KRT14 KRT16 KRT17 KRT2 KRT4 KRT5 KRT6A KRT6B KRT6C KRT74 KRT81 KRT83 KRT85 KRT86 KRT9 LAMA3 LAMB3 LAMC2 LEMD3 LEP LEPR LIPE LIPH LIPN LMNA LMX1B LPAR6 LRP4 LRRC6 LTBP4 LYST MAP2K1 MAP2K2 MBTPS2 MC4R MITF MLPH MMP14 MPLKIP MSX1 MVK MYO5A NBN NF1 NF2 NFKBIA NHP2 NIPAL4 NLRP1 NOP10 NOTCH1 NRAS NSDHL NTRK2 OCA2 OFD1 PAX3 PCNT PCSK1 PDCD10 PEPD PEX1 PEX5 PEX6 PEX7 PHF6 PHGDH PHYH PIGL PIGO PIK3CA PIK3CD PIK3R1 PKP1 PLCD1 PLEC PLIN1 PLOD1 PNPLA1 PNPLA6 POLH POMC POMP PORCN POU1F1 PPARG PRKAR1A PSAT1 PSMB8 PTEN PTPN11 PTPN14 PTRF PVRL1 PVRL4 PYCR1 RAB23 RAB27A RAF1 RASA1 RBM28 RECQL4 RHBDF2 RIN2 RIPK4 RMRP RNF113A ROGDI ROR2 RPL21 RPS6KA3 RSPH4A RSPO1 RSPO4 SCNN1A SCNN1B SCNN1G SDHB SEC23B SERPINA1 SERPING1 SETBP1 SHOC2 SIM1 SKIV2L SLC24A5 SLC27A4 SLC2A10 SLC39A13 SLC39A4 SLC45A2 SLCO2A1 SLURP1 SMARCA2 SMARCA4 SMARCAD1 SMARCB1 SNAI2 SNAP29 SOS1 SOST SOX10 SPINK5 SPRED1 SRD5A3 ST14 STAT1 STIM1 STK11 STS SUMF1 TALDO1 TAP1 TAP2 TAPBP TAT TBC1D24 TBX3 TEK TERC TERT TGM1 TGM5 TINF2 TNFRSF13B TNXB TP63 TRAF6 TRPS1 TRPV3 TSC1 TSC2 TTC37 TWIST2 TYR TYRP1 UBR1 USB1 UVSSA VDR VIPAS39 VPS13B VPS33B WDR19 WNT10A WRAP53 WRN XPA XPC ZMPSTE24
GL-001147	Becker muscular dystrophy_CE 1	DMD
GL-001148	Blistering diseases_CE 35	AQP5 ATP2A2 ATP2C1 CDSN CHST8 COL17A1 COL7A1 CSTA DSC3 DSG1 DSP DST FERMT1 IKBKG ITGA3 ITGA6 ITGB4 JUP KRT1 KRT10 KRT14 KRT16 KRT17 KRT5 KRT6A KRT6B KRT6C KRT9 LAMA3 LAMB3 LAMC2 PKP1 PLEC SLC39A4 TGM5
GL-001149	Collagen related disorders and thrombophilia_CE 57	ABCC6 ADAMTS2 ALDH18A1 ANTXR2 ATP7A CHST14 COL10A1 COL11A1 COL11A2 COL12A1 COL17A1 COL18A1 COL1A1 COL1A2 COL25A1 COL2A1 COL3A1 COL4A1 COL4A2 COL4A3 COL4A4 COL4A5 COL4A6 COL5A1 COL5A2 COL6A1 COL6A2 COL6A3 COL6A5 COL7A1 COL9A1 COL9A2 COL9A3 EFEMP2 ELN F13A1 F2 F5 F9 FBLN5 FBN1 FLNA HABP2 HPGD HRG LMNA MTHFR PLAT PLOD1 PROC PROS1 RIN2 SERPINC1 SMARCAD1 THBD TNXB ZMPSTE24
GL-001151	Pompe disease_CE 1	GAA
GL-001152	Ventricular fibrillation_CE 8	ACTN2 ANK2 CACNB2 CALM1 DPP6 RYR2 SCN3B SCN5A
GL-001153	Wolfram syndrome_CE 2	CISD2 WFS1
GL-001154	Cone dystrophy_CE 40	ABCA4 ADAM9 AIPL1 ATF6 C8ORF37 CABP4 CACNA1F CACNA2D4 CDHR1 CERKL CNGA3 CNGB3 CNNM4 CRB1 CRX GNAT2 GUCA1A GUCY2D KCNV2 MFSD8 NBAS NEB NRL OPN1LW OPN1MW OPN1SW PDE6C PDE6H PITPNM3 PROM1 PRPH2 RAB28 RAX2 RIMS1 RLBP1 RPE65 RPGR RPGRIP1 SEMA4A UNC119
GL-001155	Hemophilia_RD 2	F8 F9
